company,tax_id,license,address,fit_hint
Công Ty TNHH Aswhite Việt Nam,0312115528,189/2024/05/SLĐTBXH-VLATLĐ,"Tầng 6, tầng 7 và tầng 10, Tòa nhà REE Tower, số 9 Đoàn văn Bơ, Phường 13, Quận 4",
Công ty Cổ phần Dịch vụ Xuất khẩu Lao động và Chuyên gia,0301339815,27227,"Số 635A Nguyễn Trãi, Phường 11, Quận 5",
Công ty TNHH Thương Mại Quốc Tế Việt Triển,0317737138,28846/2023/60/SLĐTBXH-VLATLĐ,"472-474 Trần Hưng Đạo, Phường 2, Quận 5",
Công ty Cổ phần ITM Thành phố Hồ Chí Minh,0311970106,4179/2022/04/SLĐTBXH-VLATLĐ,"'Số 48 Đường số 5, Khu Đô Thị Mới Him Lam, Phường Tân Hưng, Quận 7",
Công ty TNHH Thương Mại Xây Dựng Sỹ Nguyên,0309537590,21505/2022/17/SLĐTBXH-VLATLĐ,"Số 11 Đường D5, Khu phố 2, Phường Phú Mỹ, Quận 7",
Công ty TNHH MTV David & Mark,0318313205,7884/2024/23/SLĐTBXH-VLATLĐ,"Số 7 đường số 14 Khu đô thị mới Him Lam, phường Tân Hưng, Quận 7",
Công ty Cổ phần Hội Quán Thuyền Viên,0318476552,18023/2024/38/SLĐTBXH-VLATLĐ,"25C, KP1, Huỳnh Tấn Phát, phường Phú Thuận, Quận 7, Thành phố Hồ Chí Minh, Việt Nam",
Công ty TNHH Phát Triển Văn Hóa Công Nghệ Internet Atg,0318167392,19909/2024/39/SLĐTBXH-VLATLĐ,"Tầng 6, Victory Tower, số 12 đường Tân Trào, phường Tân Phú, Quận 7",yes
Công ty TNHH MTV Việt La Bo,0309716416,15164/2023/31/SLĐTBXH-VLATLĐ,"231/1 Ba Đình, Phường 8, Quận 8",
Công ty Trách nhiệm hữu hạn Galvin May,0312186494,15973,"421/9 Sư Vạn Hạnh (nối dài), Phường 12, Quận 10",
Công ty Cổ phần Dịch Vụ Gia Tăng Mobifone,0311719703,13279/2023/25/SLĐTBXH-VLATLĐ,"MM18 Trường Sơn, Phường 14, Quận 10",
Công ty TNHH Khang Phú Hưng,0302871892,120/2024/02/SLĐTBXH-VLATLĐ,"1286 Đường 3/2, Phường 02, Quận 11",
Công ty TNHH Sản Xuất Thương Mại và Dịch vụ Lao động dạy nghề Quế Nga,0302356122,121,"0/A1 Quốc lộ 1A, Khu phố 1, Phường Tân Thới Nhất, Quận 12",
Công ty Cổ phần Sei Jin Việt Nam,0312305134,15426/2023/32/SLĐTBXH-VLATLĐ,"Số 25F2, Đường DD6, Phường Tân Hưng Thuận, Quận 12",
Công ty TNHH Thương Mại - Dịch Vụ Cung Ứng Lao Động Hiệp Thành,0317988879,20118/2023/41/SLĐTBXH-VLATLĐ,"13 Nguyễn Thị Xinh, Phường Thới An, Quận 12",
